SYMBOL,ID
EN1,1283
C1QL2,1284
STEAP3,1285
SCTR,1286
INHBB,1287
RALB,1288
TSN,1289
BIN1,1290
ERCC3,1291
IWS1,1292
LIMS2,1293
POLR2D,1294
AMMECR1L,1295
UGGT1,1296
HS6ST1,1297
TUBA3E,1298
PTPN18,1299
GPR148,1300
FAM168B,1301
TUBA3D,1302
C2orf27B,1303
LYPD1,1304
UBXN4,1305
MCM6,1306
CXCR4,1307
RBM43,1308
ARL5A,1309
STAM2,1310
RPRM,1311
NR4A2,1312
WDSUB1,1313
TBR1,1314
GALNT3,1315
TTC21B,1316
BBS5,1317
PPIG,1318
METTL5,1319
GORASP2,1320
DYNC1I2,1321
SLC25A12,1322
HAT1,1323
DLX1,1324
DLX2,1325
ITGA6,1326
PDK1,1327
CDCA7,1328
SP3,1329
SP9,1330
GPR155,1331
HOXD8,1332
HOXD4,1333
HOXD3,1334
HOXD1,1335
HOXD9,1336
HOXD10,1337
HOXD12,1338
HOXD11,1339
HOXD13,1340
HNRNPA3,1341
TTC30B,1342
RBM45,1343
CWC22,1344
FRZB,1345
ZC3H15,1346
ITGAV,1347
SLC40A1,1348
C2orf88,1349
NAB1,1350
STAT1,1351
SLC39A10,1352
COQ10B,1353
HSPE1,1354
MARS2,1355
BOLL,1356
KCTD18,1357
BZW1,1358
ZDBF2,1359
CCNYL1,1360
FZD5,1361
IDH1,1362
RPE,1363
ATIC,1364
MREG,1365
IGFBP2,1366
ARPC2,1367
CTDSP1,1368
BCS1L,1369
TTLL4,1370
WNT6,1371
WNT10A,1372
MIR375,1373
IHH,1374
CRYBA2,1375
FEV,1376
CDK5R2,1377
ABCB6,1378
PTPRN,1379
STK16,1380
TUBA4B,1381
ATG9A,1382
DNAJB2,1383
ZFAND2B,1384
TMEM198,1385
GMPPA,1386
SLC4A3,1387
MOGAT1,1388
SERPINE2,1389
MRPL44,1390
IRS1,1391
SLC19A3,1392
B3GNT7,1393
NCL,1394
PDE6D,1395
PTMA,1396
NPPC,1397
ECEL1P2,1398
ECEL1,1399
EFHD1,1400
ATG16L1,1401
GBX2,1402
COPS8,1403
RBM44,1404
SCLY,1405
HES6,1406
PER2,1407
ILKAP,1408
LOC643387,1409
TRAF3IP1,1410
TWIST2,1411
GPC1,1412
MIR149,1413
CAPN10,1414
RNPEPL1,1415
STK25,1416
ATG4B,1417
BOK,1418
DTYMK,1419
D2HGDH,1420
ING5,1421
CEP63,1422
HYAL3,1423
ULK4,1424
CLASP2,1425
ALDH1L1,1426
VPS8,1427
GOLIM4,1428
PCOLCE2,1429
MED12L,1430
EDEM1,1431
ATG7,1432
ATP2B2,1433
ANKRD28,1434
FBLN2,1435
NEK10,1436
CMC1,1437
ITGA9,1438
SETD2,1439
CCDC36,1440
CCDC66,1441
DOCK3,1442
CACNA2D3,1443
ERC2,1444
FHIT,1445
PTPRG,1446
FOXP1,1447
ROBO2,1448
VGLL3,1449
ARL6,1450
DCBLD2,1451
ZBTB20,1452
SEMA5B,1453
EEFSEC,1454
STAG1,1455
TNIK,1456
MECOM,1457
PHC3,1458
FNDC3B,1459
CCDC39,1460
FGF12,1461
UBXN7,1462
ACAP2,1463
CNTN4,1464
ITPR1,1465
FANCD2,1466
TADA3,1467
SEC13,1468
IRAK2,1469
MTMR14,1470
HRH1,1471
SLC6A11,1472
PPARG,1473
IQSEC1,1474
NUP210,1475
CAND2,1476
WNT7A,1477
NR2C2,1478
SH3BP5,1479
METTL6,1480
RFTN1,1481
DAZL,1482
OXNAD1,1483
PLCL2,1484
TBC1D5,1485
SATB1,1486
KCNH8,1487
KAT2B,1488
UBE2E2,1489
THRB,1490
TOP2B,1491
NGLY1,1492
LRRC3B,1493
TGFBR2,1494
GADL1,1495
OSBPL10,1496
CMTM8,1497
STT3B,1498
FBXL2,1499
TRIM71,1500
CNOT10,1501
CRTAP,1502
STAC,1503
GOLGA4,1504
TRANK1,1505
SCN5A,1506
OXSR1,1507
XYLB,1508
DLEC1,1509
RPSA,1510
CSRNP1,1511
MYRIP,1512
RPL14,1513
SEC22C,1514
ANO10,1515
SNRK,1516
ZNF35,1517
ZDHHC3,1518
KIF15,1519
LARS2,1520
LZTFL1,1521
SACM1L,1522
FYCO1,1523
KIF9,1524
MAP4,1525
PTPN23,1526
SMARCC1,1527
USP19,1528
ARIH2,1529
ATRIP,1530
COL7A1,1531
BSN,1532
RBM6,1533
MST1R,1534
SEMA3F,1535
DAG1,1536
RHOA,1537
IP6K1,1538
CACNA2D2,1539
WDR82,1540
PRKCD,1541
NT5DC2,1542
SFMBT1,1543
DCP1A,1544
CACNA1D,1545
ARHGEF3,1546
APPL1,1547
PXK,1548
FLNB,1549
SLMAP,1550
C3orf67,1551
CADPS,1552
ADAMTS9,1553
MAGI1,1554
LRIG1,1555
SUCLG2,1556
TMF1,1557
FAM19A4,1558
FRMD4B,1559
PROK2,1560
RYBP,1561
SHQ1,1562
PDZRN3,1563
CHMP2B,1564
ARL13B,1565
NSUN3,1566
EPHA6,1567
CPOX,1568
TBC1D23,1569
TMEM45A,1570
LNP1,1571
CEP97,1572
SENP7,1573
CBLB,1574
MORC1,1575
CD200,1576
PLCXD2,1577
PHLDB2,1578
BOC,1579
ATP6V1A,1580
GRAMD1C,1581
IGSF11,1582
GSK3B,1583
LRRC58,1584
STXBP5L,1585
IQCB1,1586
POLQ,1587
KPNA1,1588
DIRC2,1589
MYLK,1590
PDIA5,1591
SEC22A,1592
ADCY5,1593
ITGB5,1594
ZNF148,1595
SNX4,1596
OSBPL11,1597
SLC12A8,1598
CHCHD6,1599
MGLL,1600
KIAA1257,1601
RAB7A,1602
TMCC1,1603
IFT122,1604
NEK11,1605
ATP2C1,1606
CPNE4,1607
MRPL3,1608
TMEM108,1609
DNAJC13,1610
UBA5,1611
CDV3,1612
RAB6B,1613
TF,1614
RYK,1615
AMOTL2,1616
KY,1617
EPHB1,1618
DBR1,1619
CEP70,1620
NMNAT3,1621
CLSTN2,1622
RASA2,1623
SPSB4,1624
TRPC1,1625
PLS1,1626
ATR,1627
HLTF,1628
WWTR1,1629
PFN2,1630
RNF13,1631
SIAH2,1632
DHX36,1633
LEKR1,1634
RSRC1,1635
IFT80,1636
NMD3,1637
PPM1L,1638
ZBBX,1639
PRKCI,1640
PLD1,1641
NLGN1,1642
TBL1XR1,1643
PIK3CA,1644
ZNF639,1645
ZMAT3,1646
PEX5L,1647
USP13,1648
KLHL24,1649
MCF2L2,1650
ATP11B,1651
LAMP3,1652
EPHB3,1653
PSMD2,1654
AP2M1,1655
IGF2BP2,1656
SENP2,1657
C3orf70,1658
RFC4,1659
DGKG,1660
ST6GAL1,1661
LPP,1662
IL1RAP,1663
OPA1,1664
HES1,1665
LSG1,1666
SDHAP1,1667
DLG1,1668
RNF168,1669
PAK2,1670
SENP5,1671
LRCH3,1672
BDH1,1673
IQCG,1674
CRBN,1675
TRNT1,1676
SETMAR,1677
BHLHE40,1678
ARL8B,1679
RAD18,1680
THUMPD3,1681
OGG1,1682
